"elevation","aspect","slope","horizontal_distance_to_hydrology","vertical_distance_to_hydrology","horizontal_distance_to_roadways","hillshade_9am","hillshade_noon","hillshade_3pm","horizontal_distance_to_fire_points","wilderness_area","soil_type","lodgepole_pine"
3052,322,11,124,19,4050,192,229,177,2295,"wilderness_area_1","soil_type_29","1"
3015,69,6,170,4,3091,226,228,136,1704,"wilderness_area_1","soil_type_29","1"
3060,343,7,258,0,5196,205,229,162,2538,"wilderness_area_1","soil_type_22","0"
3263,104,7,582,115,6061,232,231,131,2131,"wilderness_area_1","soil_type_29","1"
3086,101,12,242,39,4471,241,223,110,2605,"wilderness_area_1","soil_type_29","1"
2946,318,7,30,7,1892,202,234,171,1566,"wilderness_area_1","soil_type_23","0"
3224,29,15,488,47,4078,214,207,125,3576,"wilderness_area_1","soil_type_38","0"
3097,285,11,182,31,5651,190,240,190,2307,"wilderness_area_1","soil_type_22","1"
3160,68,13,150,12,5491,233,214,111,2250,"wilderness_area_1","soil_type_29","1"
3231,34,14,509,48,4056,217,209,124,3594,"wilderness_area_1","soil_type_38","0"
3214,45,13,626,139,4264,223,210,119,3361,"wilderness_area_1","soil_type_29","0"
3119,72,12,324,44,4504,234,216,112,3118,"wilderness_area_1","soil_type_29","0"
3062,84,7,150,15,4383,230,228,131,2497,"wilderness_area_1","soil_type_29","1"
2822,111,6,90,1,1090,230,234,137,1913,"wilderness_area_1","soil_type_29","1"
3071,347,4,268,7,5193,211,232,159,2583,"wilderness_area_1","soil_type_23","0"
3064,79,5,277,31,3934,226,231,139,2125,"wilderness_area_1","soil_type_29","1"
3055,70,5,285,8,3844,225,230,140,2059,"wilderness_area_1","soil_type_29","1"
3006,39,6,67,3,2856,220,227,142,1499,"wilderness_area_1","soil_type_29","1"
2840,99,10,134,19,1213,237,226,119,1813,"wilderness_area_1","soil_type_29","1"
2704,359,13,108,12,170,199,215,152,2655,"wilderness_area_1","soil_type_24","1"
3252,347,16,335,52,3758,187,212,162,3945,"wilderness_area_1","soil_type_38","0"
3085,255,13,108,20,5552,190,248,195,2412,"wilderness_area_1","soil_type_23","1"
3109,47,10,180,19,4595,224,218,128,2639,"wilderness_area_1","soil_type_29","1"
2954,68,4,67,2,1812,224,231,142,1482,"wilderness_area_1","soil_type_29","1"
2935,78,12,162,-12,1693,235,219,114,1530,"wilderness_area_1","soil_type_29","1"
2830,95,9,67,9,1159,234,227,124,1829,"wilderness_area_1","soil_type_29","1"
3075,42,6,192,8,5259,221,227,142,2577,"wilderness_area_1","soil_type_22","0"
3114,341,9,0,0,4776,202,228,164,2650,"wilderness_area_1","soil_type_29","1"
3045,3,5,212,29,3309,213,230,155,1657,"wilderness_area_1","soil_type_29","1"
3268,47,16,525,80,3887,224,203,109,3763,"wilderness_area_1","soil_type_38","0"
2932,85,15,216,-15,1672,240,214,100,1489,"wilderness_area_1","soil_type_29","1"
3068,59,6,270,27,3971,224,228,139,2071,"wilderness_area_1","soil_type_29","1"
3046,42,7,210,23,3254,222,224,137,1573,"wilderness_area_1","soil_type_29","1"
2749,63,10,30,5,725,229,221,124,2118,"wilderness_area_1","soil_type_20","0"
3271,56,14,592,80,3863,228,211,113,3776,"wilderness_area_1","soil_type_38","0"
3264,35,10,624,72,3904,219,219,135,3730,"wilderness_area_1","soil_type_23","0"
3256,4,10,700,67,3988,207,220,151,3638,"wilderness_area_1","soil_type_29","0"
3138,105,19,360,63,4318,249,212,83,3310,"wilderness_area_1","soil_type_29","0"
3050,345,5,190,19,3376,211,232,160,1621,"wilderness_area_1","soil_type_29","1"
3049,45,6,210,26,3257,222,226,139,1548,"wilderness_area_1","soil_type_29","1"
3030,33,7,0,0,3048,219,226,143,1437,"wilderness_area_1","soil_type_23","0"
2998,354,11,150,-9,2423,202,221,157,1261,"wilderness_area_1","soil_type_29","0"
2976,358,6,192,23,2126,211,229,156,1283,"wilderness_area_1","soil_type_29","0"
3082,140,7,90,7,4507,231,238,140,3150,"wilderness_area_1","soil_type_29","0"
3088,10,7,313,19,5117,213,226,151,2725,"wilderness_area_1","soil_type_22","0"
3164,244,8,470,83,5892,204,247,181,2431,"wilderness_area_1","soil_type_30","1"
3073,254,10,60,7,5459,198,247,187,2581,"wilderness_area_1","soil_type_23","1"
2959,91,11,210,5,1900,237,223,117,1292,"wilderness_area_1","soil_type_29","1"
2816,94,13,150,42,926,240,220,107,1921,"wilderness_area_1","soil_type_30","1"
2793,5,23,134,49,633,183,188,135,2188,"wilderness_area_1","soil_type_24","1"
3102,87,13,240,27,4353,239,218,108,3294,"wilderness_area_1","soil_type_22","0"
3182,252,19,577,90,5997,175,249,210,2472,"wilderness_area_1","soil_type_30","1"
2851,148,11,30,3,1357,234,239,135,1572,"wilderness_area_1","soil_type_29","0"
3092,26,9,268,36,4015,216,220,140,2006,"wilderness_area_1","soil_type_29","1"
3058,357,4,240,17,3360,213,232,157,1510,"wilderness_area_1","soil_type_23","1"
2956,78,9,272,2,1885,232,223,123,1249,"wilderness_area_1","soil_type_29","1"
2914,112,13,212,55,1624,242,226,111,1381,"wilderness_area_1","soil_type_29","1"
3113,232,11,175,37,5598,203,250,184,2605,"wilderness_area_1","soil_type_22","1"
3235,266,27,664,138,6078,141,239,231,2523,"wilderness_area_1","soil_type_30","1"
3247,259,18,693,146,6105,174,247,210,2522,"wilderness_area_1","soil_type_30","1"
3093,11,10,153,24,4287,209,220,147,2218,"wilderness_area_1","soil_type_29","1"
2849,72,7,30,3,1405,228,227,133,1507,"wilderness_area_1","soil_type_29","0"
2788,28,16,350,118,362,212,203,123,2536,"wilderness_area_1","soil_type_24","1"
3265,267,4,782,161,6111,209,241,170,2550,"wilderness_area_1","soil_type_29","1"
3239,34,15,484,79,5457,216,205,120,2671,"wilderness_area_1","soil_type_29","1"
3044,349,10,342,36,2695,202,223,160,1092,"wilderness_area_1","soil_type_29","0"
2857,125,6,30,2,1482,230,236,139,1423,"wilderness_area_1","soil_type_29","0"
2819,339,11,360,75,573,197,225,166,2268,"wilderness_area_1","soil_type_24","1"
3140,39,15,459,75,4929,219,207,119,2952,"wilderness_area_1","soil_type_30","0"
3151,41,13,443,37,4888,221,210,122,2993,"wilderness_area_1","soil_type_30","0"
3024,63,6,182,16,2308,226,227,135,967,"wilderness_area_1","soil_type_29","0"
2831,60,19,60,24,966,231,197,90,1857,"wilderness_area_1","soil_type_30","0"
3153,285,17,309,44,4754,171,238,206,3103,"wilderness_area_1","soil_type_30","0"
3253,45,4,552,76,5619,221,231,147,2753,"wilderness_area_1","soil_type_29","1"
2847,56,24,90,40,1008,228,182,74,1816,"wilderness_area_1","soil_type_30","0"
3229,261,14,564,125,5989,184,247,201,2733,"wilderness_area_1","soil_type_30","1"
3102,56,7,150,0,3931,225,225,134,1775,"wilderness_area_1","soil_type_29","1"
2873,322,18,420,124,644,171,219,186,2257,"wilderness_area_1","soil_type_24","1"
3173,252,11,319,51,4775,196,248,190,3127,"wilderness_area_1","soil_type_30","0"
3070,39,3,42,0,3290,220,232,149,1230,"wilderness_area_1","soil_type_23","1"
2845,307,26,30,17,942,141,214,209,1892,"wilderness_area_1","soil_type_30","0"
3145,248,23,255,23,4708,167,250,216,3182,"wilderness_area_1","soil_type_29","0"
3182,333,5,323,49,4651,208,233,164,2402,"wilderness_area_1","soil_type_29","1"
3110,40,11,108,1,3942,221,216,129,1745,"wilderness_area_1","soil_type_29","1"
3061,54,2,124,3,2947,220,234,150,983,"wilderness_area_1","soil_type_29","1"
2884,49,9,0,0,1785,224,221,131,1106,"wilderness_area_1","soil_type_20","0"
2879,8,20,150,67,870,193,196,135,1986,"wilderness_area_1","soil_type_30","1"
3138,244,10,283,37,5706,200,248,186,2847,"wilderness_area_1","soil_type_22","1"
3176,273,14,390,72,5815,181,243,201,2833,"wilderness_area_1","soil_type_29","1"
2805,54,16,408,117,417,228,204,105,2573,"wilderness_area_1","soil_type_24","1"
3266,135,11,511,75,5821,237,236,128,2902,"wilderness_area_1","soil_type_29","1"
3191,342,4,390,52,4637,212,234,160,2343,"wilderness_area_1","soil_type_29","1"
2941,101,18,85,15,2096,247,213,88,860,"wilderness_area_1","soil_type_30","0"
2922,90,12,30,6,2041,239,220,110,890,"wilderness_area_1","soil_type_30","0"
3261,264,22,604,147,6028,160,244,220,2910,"wilderness_area_1","soil_type_30","1"
3115,31,6,30,3,3879,219,228,145,1610,"wilderness_area_1","soil_type_23","0"
2950,42,12,90,24,1398,222,213,124,1425,"wilderness_area_1","soil_type_29","1"
2752,70,21,379,78,402,238,194,78,2372,"wilderness_area_1","soil_type_29","0"
2741,55,8,323,67,350,225,223,132,2322,"wilderness_area_1","soil_type_29","0"
3014,136,19,234,56,2395,246,229,104,700,"wilderness_area_1","soil_type_30","1"
2983,115,19,150,34,2285,249,218,88,731,"wilderness_area_1","soil_type_30","1"
2920,14,16,242,45,1641,203,204,135,1182,"wilderness_area_1","soil_type_29","0"
2933,310,15,270,7,1565,179,229,190,1256,"wilderness_area_1","soil_type_30","1"
3130,303,7,108,3,4566,202,237,174,3369,"wilderness_area_1","soil_type_29","0"
3278,221,15,636,162,6061,201,253,185,2971,"wilderness_area_1","soil_type_30","1"
3159,82,7,492,25,4390,230,228,132,2059,"wilderness_area_1","soil_type_29","1"
3088,48,7,30,4,3457,223,224,136,1190,"wilderness_area_1","soil_type_23","0"
3078,63,6,192,5,3198,226,227,135,977,"wilderness_area_1","soil_type_29","1"
3065,121,7,218,3,3055,232,234,135,872,"wilderness_area_1","soil_type_23","1"
2945,357,28,201,54,1760,166,179,142,1068,"wilderness_area_1","soil_type_30","1"
3271,171,18,658,156,6076,229,245,140,3002,"wilderness_area_1","soil_type_30","1"
3241,157,7,366,50,5751,228,241,146,3034,"wilderness_area_1","soil_type_29","1"
3174,308,6,201,14,4924,204,236,171,2568,"wilderness_area_1","soil_type_23","1"
3136,45,1,268,27,4133,219,235,153,1794,"wilderness_area_1","soil_type_29","1"
3128,79,8,192,19,4046,231,226,128,1710,"wilderness_area_1","soil_type_23","1"
2991,141,12,150,33,2364,238,236,126,655,"wilderness_area_1","soil_type_30","1"
2818,63,22,510,144,540,233,188,76,2430,"wilderness_area_1","soil_type_24","0"
2715,51,10,150,49,180,225,219,127,2122,"wilderness_area_1","soil_type_29","0"
3131,47,8,242,47,5127,223,223,134,3170,"wilderness_area_1","soil_type_22","0"
3236,139,9,324,45,5726,234,237,134,3068,"wilderness_area_1","soil_type_29","1"
3207,118,10,216,16,5579,238,231,123,3095,"wilderness_area_1","soil_type_29","1"
2952,1,19,108,26,2026,189,200,145,828,"wilderness_area_1","soil_type_29","0"
2955,306,24,228,50,1842,149,219,207,984,"wilderness_area_1","soil_type_29","1"
2909,25,9,582,119,745,216,221,141,2271,"wilderness_area_1","soil_type_29","1"
2824,64,22,511,150,540,234,190,78,2416,"wilderness_area_1","soil_type_24","0"
3158,36,20,212,50,4209,214,191,105,3629,"wilderness_area_1","soil_type_22","0"
3249,182,23,594,132,6057,220,248,148,3061,"wilderness_area_1","soil_type_29","1"
3174,52,3,60,-1,5172,221,233,149,2789,"wilderness_area_1","soil_type_23","0"
3038,130,8,124,-6,2635,233,236,135,577,"wilderness_area_1","soil_type_23","1"
2854,57,20,603,176,631,230,195,90,2482,"wilderness_area_1","soil_type_24","1"
3237,188,13,524,46,5973,221,249,159,3099,"wilderness_area_1","soil_type_29","1"
3154,93,4,376,20,4358,226,233,142,1966,"wilderness_area_1","soil_type_29","1"
3099,18,7,134,13,3406,215,226,148,1050,"wilderness_area_1","soil_type_29","0"
3062,98,13,201,16,3122,241,222,109,807,"wilderness_area_1","soil_type_23","1"
2945,248,7,283,19,1622,206,245,178,1207,"wilderness_area_1","soil_type_30","0"
3170,97,11,532,36,4540,239,224,114,2132,"wilderness_area_1","soil_type_29","1"
3153,104,4,362,19,4366,226,234,143,1958,"wilderness_area_1","soil_type_29","1"
2984,13,17,175,49,2069,201,203,136,765,"wilderness_area_1","soil_type_29","0"
3123,69,10,216,37,3596,231,221,122,1182,"wilderness_area_1","soil_type_29","0"
2989,23,13,216,54,2058,212,211,134,768,"wilderness_area_1","soil_type_30","0"
2974,30,10,297,51,1956,217,218,136,865,"wilderness_area_1","soil_type_30","0"
2942,90,3,268,26,1681,224,234,146,1155,"wilderness_area_1","soil_type_29","0"
3205,47,22,474,121,4901,222,186,88,3368,"wilderness_area_1","soil_type_30","0"
2995,340,6,192,46,2151,208,232,162,680,"wilderness_area_1","soil_type_30","1"
3127,255,13,175,16,5583,190,248,195,3230,"wilderness_area_1","soil_type_22","1"
3222,173,8,420,31,5907,225,244,152,3224,"wilderness_area_1","soil_type_29","1"
3202,124,7,150,11,5643,232,235,136,3208,"wilderness_area_1","soil_type_23","1"
3193,135,0,402,17,4744,219,238,156,2284,"wilderness_area_1","soil_type_29","1"
3001,35,10,309,59,2080,219,218,134,741,"wilderness_area_1","soil_type_30","1"
3208,61,18,313,83,4106,232,201,95,3721,"wilderness_area_1","soil_type_22","0"
3199,201,8,433,79,5958,217,247,165,3150,"wilderness_area_1","soil_type_29","1"
3209,124,3,306,18,5802,225,237,146,3178,"wilderness_area_1","soil_type_29","1"
2911,135,7,30,-1,1570,232,237,137,1339,"wilderness_area_1","soil_type_29","1"
3202,280,24,180,48,4578,148,235,223,3436,"wilderness_area_1","soil_type_29","0"
3199,60,31,457,105,4936,227,160,44,3292,"wilderness_area_1","soil_type_30","0"
3141,38,6,180,7,4270,220,227,143,1771,"wilderness_area_1","soil_type_23","1"
3136,6,2,30,1,4041,216,234,155,1536,"wilderness_area_1","soil_type_23","1"
3133,117,2,360,-1,3729,223,237,150,1216,"wilderness_area_1","soil_type_29","0"
3001,80,12,376,57,2089,236,218,111,738,"wilderness_area_1","soil_type_30","1"
2928,288,17,319,47,1209,172,237,204,1830,"wilderness_area_1","soil_type_29","1"
2919,52,6,541,-8,825,223,227,140,2304,"wilderness_area_1","soil_type_12","1"
2742,47,22,228,63,242,222,186,88,1945,"wilderness_area_1","soil_type_29","0"
3158,61,15,153,25,4240,231,208,106,3576,"wilderness_area_1","soil_type_22","0"
3207,216,7,495,16,5991,213,247,170,3099,"wilderness_area_1","soil_type_29","1"
3097,80,13,228,48,3376,237,215,107,836,"wilderness_area_1","soil_type_29","0"
2954,84,16,108,13,1813,241,211,95,1063,"wilderness_area_1","soil_type_29","0"
2959,82,9,537,94,1063,233,225,124,2062,"wilderness_area_1","soil_type_12","1"
3135,37,7,162,27,5221,220,224,139,3144,"wilderness_area_1","soil_type_22","1"
3132,47,9,134,23,5249,223,220,131,3137,"wilderness_area_1","soil_type_22","1"
3052,104,8,67,6,3223,234,230,129,658,"wilderness_area_1","soil_type_29","1"
3199,306,15,150,45,4514,177,230,193,3368,"wilderness_area_1","soil_type_29","0"
3037,103,9,162,0,2858,235,229,125,300,"wilderness_area_1","soil_type_22","0"
2957,95,15,67,16,1852,243,216,98,1048,"wilderness_area_1","soil_type_29","0"
2916,72,12,424,-11,750,233,217,114,2381,"wilderness_area_1","soil_type_29","1"
3117,45,3,0,0,5398,220,233,150,3043,"wilderness_area_1","soil_type_23","1"
3136,180,5,127,-1,4024,222,243,156,1455,"wilderness_area_1","soil_type_29","0"
2949,301,11,108,14,1602,190,236,186,1396,"wilderness_area_1","soil_type_29","1"
3143,34,7,201,31,5190,219,225,142,3056,"wilderness_area_1","soil_type_22","1"
3047,0,1,42,1,3180,217,236,156,541,"wilderness_area_1","soil_type_19","1"
2992,99,14,268,43,2100,242,220,104,771,"wilderness_area_1","soil_type_30","0"
2937,18,11,30,2,1803,211,216,141,1154,"wilderness_area_1","soil_type_29","0"
2877,44,17,365,-50,658,221,200,107,2248,"wilderness_area_1","soil_type_29","1"
3213,297,17,108,34,4452,171,233,201,3301,"wilderness_area_1","soil_type_29","0"
3008,131,15,242,35,2847,243,231,113,192,"wilderness_area_1","soil_type_29","0"
2966,30,22,201,4,1528,207,186,107,1537,"wilderness_area_1","soil_type_29","1"
3136,163,5,134,2,4252,225,241,151,1654,"wilderness_area_1","soil_type_22","0"
3016,291,11,339,54,2405,190,238,188,437,"wilderness_area_1","soil_type_29","1"
2972,91,10,190,23,2090,236,224,119,819,"wilderness_area_1","soil_type_29","0"
2949,359,12,85,6,1846,202,219,153,1146,"wilderness_area_1","soil_type_29","0"
3164,22,8,60,0,4262,215,222,144,3334,"wilderness_area_1","soil_type_22","0"
3172,28,24,323,60,5076,203,179,102,2992,"wilderness_area_1","soil_type_22","1"
3197,246,8,534,6,5981,205,246,179,2896,"wilderness_area_1","soil_type_22","1"
3031,166,4,361,61,2323,223,241,153,547,"wilderness_area_1","soil_type_30","1"
2996,317,8,270,23,2688,198,233,174,134,"wilderness_area_1","soil_type_29","0"
2957,25,18,30,10,1767,208,199,123,1291,"wilderness_area_1","soil_type_29","0"
2947,59,6,391,-12,1092,224,228,139,2101,"wilderness_area_1","soil_type_23","0"
3183,37,23,300,69,5113,212,181,94,2918,"wilderness_area_1","soil_type_22","1"
3105,116,17,127,2,3896,247,221,96,1230,"wilderness_area_1","soil_type_29","0"
3201,37,5,361,22,5716,220,229,146,2854,"wilderness_area_1","soil_type_29","1"
3188,53,5,192,10,5428,223,229,142,2850,"wilderness_area_1","soil_type_23","1"
3023,163,6,277,53,2352,226,242,150,570,"wilderness_area_1","soil_type_29","0"
3103,132,7,67,0,3948,231,237,138,1260,"wilderness_area_1","soil_type_29","0"
3087,125,4,108,-8,3866,226,237,145,1170,"wilderness_area_1","soil_type_29","0"
3187,90,4,228,9,5417,226,233,143,2821,"wilderness_area_1","soil_type_23","1"
2973,323,12,90,25,2005,189,227,178,1082,"wilderness_area_1","soil_type_29","1"
3201,58,19,366,85,5106,230,197,93,2794,"wilderness_area_1","soil_type_30","1"
3185,117,3,247,7,5398,225,236,146,2791,"wilderness_area_1","soil_type_23","1"
3100,147,5,0,0,4000,227,239,147,1293,"wilderness_area_1","soil_type_23","0"
2972,82,7,268,-16,1510,230,228,132,1712,"wilderness_area_1","soil_type_22","1"
3179,105,5,150,6,5294,228,234,140,2673,"wilderness_area_1","soil_type_23","1"
3103,145,4,60,-8,4121,225,239,149,1415,"wilderness_area_1","soil_type_23","0"
2992,49,5,150,3,1633,222,229,142,1595,"wilderness_area_1","soil_type_29","1"
3217,61,15,418,101,5060,231,207,105,2744,"wilderness_area_1","soil_type_30","1"
3116,76,4,108,1,4353,225,232,143,1657,"wilderness_area_1","soil_type_22","0"
3017,71,19,503,44,2979,238,199,85,175,"wilderness_area_1","soil_type_29","0"
3004,16,7,484,31,2904,214,226,148,150,"wilderness_area_1","soil_type_22","0"
2982,298,13,30,9,1756,185,235,191,1478,"wilderness_area_1","soil_type_29","1"
2998,112,12,150,27,2444,240,227,115,626,"wilderness_area_1","soil_type_29","0"
3158,38,22,127,38,5392,215,187,98,2609,"wilderness_area_1","soil_type_22","1"
3204,59,10,360,31,5550,228,219,124,2713,"wilderness_area_1","soil_type_29","1"
2989,349,6,0,0,1777,209,230,159,1485,"wilderness_area_1","soil_type_29","0"
2803,62,21,212,120,240,233,193,83,1595,"wilderness_area_1","soil_type_29","0"
3065,315,5,192,9,3432,207,236,167,618,"wilderness_area_1","soil_type_19","0"
2976,29,9,30,4,2329,217,221,139,845,"wilderness_area_1","soil_type_20","1"
2799,67,23,190,132,210,235,186,70,1559,"wilderness_area_1","soil_type_29","0"
3182,58,9,212,62,5314,227,222,129,2560,"wilderness_area_1","soil_type_22","1"
3237,315,0,446,58,4529,217,237,157,2791,"wilderness_area_1","soil_type_38","0"
3187,99,6,234,12,5467,230,232,136,2669,"wilderness_area_1","soil_type_29","0"
3123,72,2,256,8,4442,222,234,149,1707,"wilderness_area_1","soil_type_22","0"
3123,86,3,247,8,4415,224,234,145,1677,"wilderness_area_1","soil_type_22","0"
3069,7,8,124,3,3643,211,225,151,836,"wilderness_area_1","soil_type_19","0"
3024,138,7,162,30,2681,231,238,139,492,"wilderness_area_1","soil_type_29","0"
2908,85,10,285,-19,603,235,222,118,1935,"wilderness_area_1","soil_type_29","1"
2869,78,14,420,-7,454,237,213,104,1786,"wilderness_area_1","soil_type_29","1"
3102,81,3,242,10,4213,223,234,146,1448,"wilderness_area_1","soil_type_23","0"
3075,6,9,127,2,3736,210,223,151,930,"wilderness_area_1","soil_type_22","0"
3033,306,6,255,25,2863,203,237,173,376,"wilderness_area_1","soil_type_29","0"
2988,318,21,134,16,2317,160,216,194,959,"wilderness_area_1","soil_type_29","1"
3168,85,13,180,44,5353,238,218,109,2457,"wilderness_area_1","soil_type_22","1"
3216,210,4,589,54,5911,217,243,163,2483,"wilderness_area_1","soil_type_29","0"
3016,139,9,108,15,2721,234,238,135,531,"wilderness_area_1","soil_type_29","0"
2998,63,7,0,0,1838,226,226,134,1513,"wilderness_area_1","soil_type_29","0"
2971,100,11,67,8,1348,238,225,116,2012,"wilderness_area_1","soil_type_23","1"
3205,238,4,443,55,5995,212,244,170,2427,"wilderness_area_1","soil_type_22","0"
3140,75,7,256,-5,4670,228,228,133,1930,"wilderness_area_1","soil_type_19","0"
3085,356,10,190,8,3740,204,222,156,926,"wilderness_area_1","soil_type_29","0"
2982,94,8,124,19,1442,232,229,129,1930,"wilderness_area_1","soil_type_22","1"
2823,78,17,256,137,270,240,207,93,1567,"wilderness_area_1","soil_type_29","1"
3283,54,15,459,104,4084,228,207,109,2881,"wilderness_area_1","soil_type_29","0"
3145,276,11,42,5,5586,190,242,192,2341,"wilderness_area_1","soil_type_23","1"
3080,36,12,404,21,3470,219,212,127,658,"wilderness_area_1","soil_type_22","0"
3054,68,10,330,10,3150,231,220,121,459,"wilderness_area_1","soil_type_29","0"
3007,39,6,256,18,1604,220,227,142,1797,"wilderness_area_1","soil_type_22","1"
3180,67,9,228,53,5274,229,222,125,2343,"wilderness_area_1","soil_type_22","1"
3194,88,5,212,13,5615,228,231,137,2468,"wilderness_area_1","soil_type_29","0"
2984,288,12,60,14,2529,186,239,192,890,"wilderness_area_1","soil_type_29","0"
3227,106,4,551,36,4857,227,234,142,2430,"wilderness_area_1","soil_type_38","0"
3211,105,7,484,29,4991,232,232,133,2382,"wilderness_area_1","soil_type_22","1"
3200,87,9,270,19,5682,233,226,125,2420,"wilderness_area_1","soil_type_29","0"
3148,67,7,350,-7,4749,228,226,132,1987,"wilderness_area_1","soil_type_22","0"
3103,350,11,170,12,3905,201,222,160,1087,"wilderness_area_1","soil_type_29","0"
2993,76,4,67,-2,2708,225,232,143,743,"wilderness_area_1","soil_type_29","0"
3022,356,13,95,15,1850,199,217,155,1584,"wilderness_area_1","soil_type_29","0"
2971,84,9,42,5,1377,233,225,125,2045,"wilderness_area_1","soil_type_23","1"
3180,268,7,216,30,5772,202,243,179,2257,"wilderness_area_1","soil_type_22","1"
3185,330,7,85,8,5334,204,232,167,2550,"wilderness_area_1","soil_type_22","0"
3032,279,6,335,10,2292,203,241,177,1181,"wilderness_area_1","soil_type_29","1"
2917,185,3,90,2,819,220,241,157,2100,"wilderness_area_1","soil_type_23","1"
3248,52,3,607,69,4344,221,233,149,2614,"wilderness_area_1","soil_type_22","0"
3137,81,7,297,36,4696,230,227,129,1917,"wilderness_area_1","soil_type_22","0"
3102,337,7,42,3,4116,204,230,165,1301,"wilderness_area_1","soil_type_29","0"
2984,92,11,127,18,1448,238,222,114,2003,"wilderness_area_1","soil_type_22","1"
3160,69,8,95,-4,5361,229,224,128,2203,"wilderness_area_1","soil_type_23","1"
3190,344,7,108,9,5385,206,229,162,2483,"wilderness_area_1","soil_type_22","0"
3111,127,5,150,9,4470,228,237,143,1655,"wilderness_area_1","soil_type_23","0"
3119,327,16,150,23,4029,181,221,179,1199,"wilderness_area_1","soil_type_29","0"
3027,144,13,150,24,3127,238,237,126,603,"wilderness_area_1","soil_type_29","0"
3038,302,4,323,16,2279,207,238,169,1235,"wilderness_area_1","soil_type_23","1"
2969,102,10,124,3,1392,238,226,119,2069,"wilderness_area_1","soil_type_22","1"
2955,150,9,134,-10,1273,232,240,139,2184,"wilderness_area_1","soil_type_22","1"
3211,90,5,390,20,4912,227,232,139,2277,"wilderness_area_1","soil_type_22","0"
3200,242,4,485,28,6005,213,242,167,2219,"wilderness_area_1","soil_type_22","1"
3046,306,4,234,24,2165,208,237,168,1355,"wilderness_area_1","soil_type_23","0"
2905,113,6,120,-6,721,231,234,136,1982,"wilderness_area_1","soil_type_22","1"
2867,139,14,90,-9,495,241,235,120,1742,"wilderness_area_1","soil_type_29","1"
3169,75,7,108,0,5255,229,226,130,2155,"wilderness_area_1","soil_type_22","1"
3150,43,8,0,0,5449,222,223,136,2133,"wilderness_area_1","soil_type_23","1"
3144,3,12,376,53,3861,204,217,150,966,"wilderness_area_1","soil_type_29","0"
3099,86,7,268,46,3564,230,229,132,708,"wilderness_area_1","soil_type_29","1"
2973,97,15,170,27,1430,243,218,101,2059,"wilderness_area_1","soil_type_22","1"
3103,200,5,60,8,4436,218,244,162,1538,"wilderness_area_1","soil_type_23","0"
3130,304,14,192,31,4103,179,231,192,1181,"wilderness_area_1","soil_type_29","0"
3151,0,13,366,59,3903,200,215,152,973,"wilderness_area_1","soil_type_29","1"
3116,112,11,361,58,3728,239,228,119,807,"wilderness_area_1","soil_type_29","1"
3093,117,7,228,40,3558,233,233,132,666,"wilderness_area_1","soil_type_29","1"
3012,292,16,30,10,3055,174,236,201,604,"wilderness_area_1","soil_type_19","0"
3025,80,11,277,7,1761,234,221,118,1736,"wilderness_area_1","soil_type_22","0"
2931,96,14,0,0,968,242,218,103,2225,"wilderness_area_1","soil_type_23","1"
3294,69,17,540,8,4097,236,204,94,2610,"wilderness_area_1","soil_type_40","0"
3199,267,4,433,29,6016,209,241,170,2132,"wilderness_area_1","soil_type_23","1"
3216,340,6,350,35,5791,208,232,162,2212,"wilderness_area_1","soil_type_22","0"
3120,107,12,85,19,4633,240,225,113,1727,"wilderness_area_1","soil_type_23","0"
3134,77,16,376,72,3795,239,208,95,834,"wilderness_area_1","soil_type_29","1"
3018,119,11,67,0,3229,239,231,121,514,"wilderness_area_1","soil_type_29","0"
3012,69,9,124,23,2888,230,222,125,721,"wilderness_area_1","soil_type_29","0"
3258,57,5,503,14,4241,223,229,142,2480,"wilderness_area_1","soil_type_22","0"
3151,307,11,277,52,4085,188,233,185,1100,"wilderness_area_1","soil_type_29","1"
3111,100,22,319,49,3763,250,205,73,768,"wilderness_area_1","soil_type_29","1"
3208,81,6,201,17,4987,228,230,136,2089,"wilderness_area_1","soil_type_22","0"
3023,82,7,180,5,1718,230,228,130,1768,"wilderness_area_1","soil_type_22","1"
3209,108,5,182,10,4948,229,234,138,2069,"wilderness_area_1","soil_type_22","0"
3155,319,16,283,52,4144,178,224,186,1103,"wilderness_area_1","soil_type_29","1"
3174,315,5,404,76,4019,206,235,169,966,"wilderness_area_1","soil_type_29","1"
2988,116,13,67,12,1550,242,227,111,1936,"wilderness_area_1","soil_type_23","0"
2947,74,7,0,0,1348,229,227,132,2142,"wilderness_area_1","soil_type_23","0"
3194,69,6,85,5,5075,226,228,136,2001,"wilderness_area_1","soil_type_22","0"
3007,70,7,30,7,2821,228,226,132,716,"wilderness_area_1","soil_type_29","0"
3246,117,5,361,2,4294,229,235,139,2313,"wilderness_area_1","soil_type_22","0"
3240,121,4,360,-3,4402,227,236,144,2248,"wilderness_area_1","soil_type_22","0"
3233,108,2,242,15,4648,223,236,149,2120,"wilderness_area_1","soil_type_38","0"
3221,63,13,342,38,5662,231,214,113,2160,"wilderness_area_1","soil_type_22","0"
3062,155,11,30,5,3599,233,241,138,469,"wilderness_area_1","soil_type_29","1"
3264,98,9,360,2,4119,235,228,124,2394,"wilderness_area_1","soil_type_40","0"
3070,178,7,127,8,3758,224,245,155,582,"wilderness_area_1","soil_type_29","1"
